0 398  1.549 -1.60022   -30412 1495.64
31600 9173  12.9344 53142.2   -1.01387e+07 206828
31700 9173  12.9344 53178.9   -1.01387e+07 206828
31800 9174  12.9344 53209.9   -1.01402e+07 206822
31900 9175  12.9646 53247.1   -1.01418e+07 206844
32000 9175  12.9678 53276   -1.01418e+07 206844
32100 9175  12.9678 53309.1   -1.01418e+07 206844
32200 9175  12.9678 53351.2   -1.01418e+07 206844
32300 9175  12.9678 53386.2   -1.01418e+07 206844
32400 9175  12.9678 53419.3   -1.01418e+07 206844
32500 9177  12.9678 53459.6   -1.01457e+07 206870
32600 9179  12.9678 53496.4   -1.01493e+07 206928
32700 9179  12.9678 53525.8   -1.01493e+07 206928
32800 9179  12.9678 53555.5   -1.01493e+07 206928
32900 9179  12.9678 53590.9   -1.01493e+07 206928
33000 9179  12.9678 53618.3   -1.01493e+07 206928
33100 9179  13.2696 53649.6   -1.01493e+07 206928
33200 9179  13.2696 53674   -1.01493e+07 206928
33300 9179  13.2696 53695.3   -1.01493e+07 206928
33400 9181  13.2696 53729.5   -1.01528e+07 206953
33500 9182  13.2696 53758.1   -1.01538e+07 206965
33600 9182  13.2696 53778.3   -1.01538e+07 206965
33700 9182  13.2696 53810.6   -1.01538e+07 206965
33800 9183  13.2696 53850.3   -1.01558e+07 206998
33900 9183  13.2696 53868.8   -1.01558e+07 206998
34000 9183  13.2696 53904.2   -1.01558e+07 206998
34100 9183  13.2696 53923   -1.01558e+07 206998
34200 9183  13.2696 53949.3   -1.01558e+07 206998
34300 9184  13.2696 53979.9   -1.01576e+07 207016
34400 9184  13.2696 54010.6   -1.01576e+07 207016
34500 9184  13.2696 54042.4   -1.01576e+07 207016
34600 9184  13.2696 54064.9   -1.01576e+07 207016
34700 9185  13.2696 54094.1   -1.01601e+07 207082
34800 9185  13.2696 54115.2   -1.01601e+07 207082
34900 9186  13.2696 54132.4   -1.01621e+07 207129
35000 9186  13.2696 54156.1   -1.01621e+07 207129
35100 9188  13.2696 54177.1   -1.01649e+07 207166
35200 9188  13.2696 54199.2   -1.01649e+07 207166
35300 9188  13.2696 54222.5   -1.01649e+07 207166
35400 9188  13.2696 54241   -1.01649e+07 207166
35500 9188  13.2696 54268.4   -1.01649e+07 207166
35600 9188  13.2696 54298   -1.01649e+07 207166
35700 9188  13.2696 54323.3   -1.01649e+07 207166
35800 9189  13.2696 54348.8   -1.01663e+07 207181
35900 9189  13.2696 54365.5   -1.01663e+07 207181
36000 9189  13.2696 54390.7   -1.01663e+07 207181
36100 9189  13.2696 54408.4   -1.01663e+07 207181
36200 9190  13.2696 54435.4   -1.01677e+07 207197
36300 9190  13.2696 54455.4   -1.01677e+07 207197
36400 9190  13.2696 54479.8   -1.01677e+07 207197
36500 9191  13.2696 54510.2   -1.01693e+07 207209
