27600 7617  8.73924 32187   -7.94934e+06 181338
27700 7617  8.73924 32213.8   -7.94934e+06 181338
27800 7618  8.73924 32245   -7.95086e+06 181333
27900 7623  8.73924 32274.4   -7.95876e+06 181358
28000 7625  8.73924 32296.4   -7.96183e+06 181385
28100 7627  8.73924 32318.8   -7.96501e+06 181424
28200 7629  8.7496 32341.7   -7.96858e+06 181454
28300 7632  8.7496 32359.4   -7.97084e+06 181541
28400 7634  8.87187 32385.1   -7.97324e+06 181549
28500 7635  8.87187 32400.3   -7.97513e+06 181569
28600 7635  8.98544 32430.7   -7.97513e+06 181569
28700 7636  8.98544 32447.5   -7.9763e+06 181583
28800 7639  8.98544 32471.9   -7.98053e+06 181632
28900 7640  9.1569 32495.7   -7.981e+06 181682
29000 7643  9.1569 32514.8   -7.98539e+06 181708
29100 7644  9.1569 32543.1   -7.98807e+06 181842
29200 7645  9.1569 32568.1   -7.98938e+06 181835
29300 7646  9.1569 32591.2   -7.99138e+06 181861
29400 7647  9.1569 32615.4   -7.99282e+06 181874
29500 7649  9.1569 32638.2   -7.99429e+06 181940
29600 7650  9.1569 32663   -7.99645e+06 181949
29700 7650  9.1569 32690.4   -7.99645e+06 181949
29800 7654  9.1569 32709.1   -8.00245e+06 182000
29900 7655  9.1569 32736.1   -8.00298e+06 182048
30000 7656  9.1569 32760.1   -8.00373e+06 182069
30100 7657  9.1569 32783.4   -8.00487e+06 182078
30200 7657  9.1569 32801.3   -8.00487e+06 182078
30300 7659  9.1569 32825.8   -8.008e+06 182140
30400 7659  9.1569 32849.2   -8.008e+06 182140
30500 7660  9.1569 32867.2   -8.00931e+06 182146
30600 7660  9.1569 32888.6   -8.00931e+06 182146
30700 7662  9.22449 32909.4   -8.0121e+06 182269
30800 7663  9.22449 32936.4   -8.01432e+06 182334
30900 7663  9.22449 32956.8   -8.01432e+06 182334
31000 7663  9.2798 32977.8   -8.01432e+06 182334
31100 7663  9.2798 33004.9   -8.01432e+06 182334
31200 7663  9.2798 33035.2   -8.01432e+06 182334
31300 7665  9.30761 33059.3   -8.01784e+06 182342
31400 7666  9.30761 33077.2   -8.01933e+06 182336
31500 7666  9.30761 33100.6   -8.01933e+06 182336
31600 7666  9.30761 33118.6   -8.01933e+06 182336
31700 7666  9.40913 33139.2   -8.01933e+06 182336
31800 7666  9.40913 33159.8   -8.01933e+06 182336
31900 7666  9.40913 33178.3   -8.01933e+06 182336
32000 7668  9.40913 33203.6   -8.02128e+06 182379
32100 7670  9.40913 33222.7   -8.02407e+06 182388
32200 7671  9.40913 33238   -8.02454e+06 182442
32300 7671  9.40913 33260.1   -8.02454e+06 182442
32400 7671  9.40913 33281.6   -8.02454e+06 182442
32500 7671  9.40913 33299   -8.02454e+06 182442
32600 7671  9.40913 33315.8   -8.02454e+06 182442
32700 7672  9.40913 33335.4   -8.02528e+06 182480
32800 7674  9.50822 33352.4   -8.02807e+06 182538
32900 7674  9.50822 33378   -8.02807e+06 182538
33000 7675  9.50822 33401.3   -8.02906e+06 182544
33100 7676  9.50822 33429.1   -8.03022e+06 182550
33200 7677  9.50822 33448.7   -8.03179e+06 182555
33300 7677  9.50822 33471.8   -8.03179e+06 182555
33400 7677  9.50822 33494.9   -8.03179e+06 182555
33500 7678  9.60641 33516.6   -8.03407e+06 182662
33600 7680  9.60641 33533.9   -8.03827e+06 182741
33700 7681  9.60641 33557.7   -8.03938e+06 182760
33800 7681  9.60641 33579.6   -8.03938e+06 182760
33900 7682  9.60641 33599.2   -8.04082e+06 182760
34000 7683  9.60641 33618.1   -8.04195e+06 182763
34100 7684  9.60641 33639.4   -8.04264e+06 182799
34200 7684  9.60641 33659.6   -8.04264e+06 182799
34300 7685  9.60641 33674.3   -8.04357e+06 182821
34400 7686  9.73446 33695.8   -8.04497e+06 182828
34500 7687  9.73446 33712   -8.04566e+06 182857
34600 7688  9.82763 33727.9   -8.04664e+06 182875
34700 7689  9.82763 33756.2   -8.04722e+06 182923
34800 7689  9.82763 33772.2   -8.04722e+06 182923
34900 7691  9.82763 33797.6   -8.04984e+06 182942
35000 7693  9.82763 33821.4   -8.05146e+06 182981
35100 7693  9.82763 33838.9   -8.05146e+06 182981
35200 7695  9.82763 33858.8   -8.05431e+06 182986
35300 7698  9.82763 33879.6   -8.05872e+06 183049
35400 7698  9.82763 33902   -8.05872e+06 183049
35500 7699  9.82763 33920.5   -8.0596e+06 183064
35600 7700  9.82763 33936.9   -8.06161e+06 183088
