0 18  -0.0226279 -3.60878   -324 0
33200 6044  6.64692 19882.5   -6.07043e+06 152425
33300 6044  6.73919 19895.2   -6.07043e+06 152425
33400 6045  6.73919 19906.8   -6.07174e+06 152428
33500 6047  6.73919 19925.9   -6.07419e+06 152437
33600 6049  6.73919 19935.1   -6.07633e+06 152475
33700 6049  6.73919 19945.8   -6.07633e+06 152475
33800 6050  6.73919 19954   -6.07748e+06 152471
33900 6050  6.73919 19965.9   -6.07748e+06 152471
34000 6051  6.73919 19972.8   -6.07869e+06 152477
34100 6053  6.73919 19982   -6.08132e+06 152494
34200 6055  6.73919 19993.5   -6.08396e+06 152482
34300 6055  6.73919 19999.9   -6.08396e+06 152482
34400 6055  6.73919 20006.1   -6.08396e+06 152482
34500 6055  6.73919 20015.6   -6.08396e+06 152482
34600 6057  6.73919 20027.7   -6.08604e+06 152533
34700 6059  6.73919 20039.2   -6.08811e+06 152566
34800 6060  6.73919 20048.2   -6.08919e+06 152569
34900 6061  6.73919 20061   -6.09066e+06 152565
35000 6061  6.73919 20069.8   -6.09066e+06 152565
35100 6061  6.77242 20081.9   -6.09066e+06 152565
35200 6062  6.77242 20093.2   -6.09238e+06 152580
35300 6063  6.77242 20100   -6.09322e+06 152599
35400 6065  6.77242 20109.8   -6.09642e+06 152635
35500 6065  6.77242 20118.2   -6.09642e+06 152635
35600 6065  6.77242 20129.1   -6.09642e+06 152635
35700 6066  6.77242 20136.7   -6.09776e+06 152633
35800 6067  6.77242 20145.4   -6.09908e+06 152648
35900 6068  6.77242 20160   -6.10082e+06 152639
36000 6068  6.77564 20172.9   -6.10082e+06 152639
36100 6069  6.77564 20178   -6.10188e+06 152662
36200 6070  6.77564 20188.2   -6.10248e+06 152708
36300 6070  6.77564 20196   -6.10248e+06 152708
36400 6071  6.77564 20201.3   -6.10364e+06 152731
36500 6071  6.77564 20209.6   -6.10364e+06 152731
36600 6071  6.78016 20217.4   -6.10364e+06 152731
36700 6073  6.78016 20227.4   -6.10588e+06 152778
36800 6073  6.94925 20238.8   -6.10588e+06 152778
36900 6073  6.94925 20248   -6.10588e+06 152778
37000 6073  6.94925 20256.9   -6.10588e+06 152778
37100 6073  6.94925 20264.9   -6.10588e+06 152778
37200 6073  6.94925 20275.4   -6.10588e+06 152778
37300 6075  6.94925 20285   -6.10852e+06 152784
37400 6075  6.94925 20292.2   -6.10852e+06 152784
37500 6076  6.94925 20304   -6.11008e+06 152783
37600 6076  6.94925 20312.5   -6.11008e+06 152783
37700 6077  6.94925 20320.4   -6.11138e+06 152787
37800 6078  6.94925 20328.9   -6.11245e+06 152784
